B1,B4-6,D1,E11a,A1,opinionated,A3
7,10,7,2,4,0,very positive
8,5,12,2,4,1,positive
8,4,6,2,4,0,positive
7,3,15,2,4,0,positive
8,7,14,2,4,1,not positive
7,11,13,2,4,1,not positive
8,4,8,1,4,1,very positive
8,3,10,2,5,1,very positive
8,4,6,1,1,0,very positive
8,10,15,1,1,1,not positive
8,4,6,2,4,0,very positive
7,13,20,4,4,1,positive
7,12,7,1,4,0,very positive
7,4,6,2,4,1,very positive
8,13,7,1,4,1,very positive
7,4,15,2,3,0,not positive
7,11,6,1,4,1,very positive
7,6,8,1,4,1,positive
7,10,9,1,5,1,very positive
7,10,9,1,4,0,very positive
8,6,6,3,4,1,very positive
7,3,12,1,4,0,very positive
8,5,6,2,5,1,very positive
7,9,20,3,2,0,not positive
7,10,9,2,4,1,not positive
7,10,10,1,5,1,very positive
7,4,13,1,4,0,positive
7,9,8,2,4,1,very positive
7,4,13,3,2,1,not positive
8,12,6,1,5,1,very positive
8,8,6,4,4,1,very positive
7,4,8,2,4,0,very positive
7,13,16,2,4,0,very positive
8,4,16,2,4,0,positive
5,12,8,3,5,1,very positive
7,8,9,1,5,0,very positive
8,3,6,1,4,0,very positive
7,6,15,2,4,0,very positive
7,4,6,1,5,1,very positive
8,4,6,2,5,1,positive
7,9,6,1,2,0,positive
7,4,18,2,2,0,not positive
8,5,6,1,5,0,positive
8,6,9,1,4,0,very positive
7,13,13,3,2,0,not positive
6,4,14,2,4,1,very positive
7,12,6,2,2,1,not positive
7,10,22,2,1,0,not positive
7,5,8,2,2,0,not positive
6,4,6,1,4,1,positive
8,4,8,2,4,1,very positive
8,3,10,1,4,0,positive
6,12,19,2,2,1,positive
7,13,13,1,4,0,not positive
8,11,8,2,2,0,not positive
8,11,9,2,2,0,positive
6,4,10,1,4,1,very positive
8,8,10,3,2,1,very positive
7,9,8,2,4,0,very positive
8,6,6,2,4,0,very positive
7,9,22,2,4,0,positive
7,5,14,2,2,0,not positive
7,12,24,4,5,1,not positive
6,4,7,2,4,0,positive
6,9,11,1,4,1,very positive
8,4,10,2,4,0,positive
8,4,6,1,2,0,very positive
8,11,6,1,4,0,very positive
7,13,15,2,4,0,very positive
7,12,8,1,4,0,very positive
7,5,11,2,4,1,very positive
8,12,6,1,4,0,positive
7,13,10,1,2,1,very positive
6,12,13,1,4,0,positive
7,5,7,3,5,1,very positive
6,3,7,1,5,0,very positive
8,5,17,2,4,0,positive
8,12,9,1,5,1,very positive
6,4,6,2,4,0,very positive
7,12,11,1,4,0,positive
7,4,18,2,4,0,positive
8,4,7,1,4,0,very positive
